Simulation Name,Trial Number,Single Peptide Charge,Number of Peptides,Multiple Peptide Charge,Number of Ions Added,New System Charge,Number of THC/CBD Molecules Added,Number of Waters,Concentration [mg/kg] of THC/CBD
trial1_1-1_swp-cbd,1,-1,5,-5,5,0,5,16360,5334.78133351814
trial2_1-1_swp-cbd,2,-1,5,-5,5,0,5,16360,5334.78133351814
trial3_1-1_swp-cbd,3,-1,5,-5,5,0,5,16360,5334.78133351814
trial1_1-2_swp-cbd,1,-1,5,-5,0,-5,10,16258,10736.501736542843
trial2_1-2_swp-cbd,2,-1,5,-5,0,-5,10,16258,10736.501736542843
trial3_1-2_swp-cbd,3,-1,5,-5,0,-5,10,16258,10736.501736542843
trial1_1-3_swp-cbd,1,-1,5,-5,0,-5,15,16185,16177.390661048517
trial2_1-3_swp-cbd,2,-1,5,-5,0,-5,15,16185,16177.390661048517
trial3_1-3_swp-cbd,3,-1,5,-5,0,-5,15,16185,16177.390661048517
trial1_1-4_swp-cbd,1,-1,5,-5,0,-5,20,16076,21716.104159332368
trial2_1-4_swp-cbd,2,-1,5,-5,0,-5,20,16076,21716.104159332368
trial3_1-4_swp-cbd,3,-1,5,-5,0,-5,20,16076,21716.104159332368
trial1_1-5_swp-cbd,1,-1,5,-5,0,-5,25,15990,27291.126521687544
trial2_1-5_swp-cbd,2,-1,5,-5,0,-5,25,15990,27291.126521687544
trial3_1-5_swp-cbd,3,-1,5,-5,0,-5,25,15990,27291.126521687544
trial1_1-1_swp-thc,1,-1,5,-5,5,0,5,16382,5327.617056303062
trial2_1-1_swp-thc,2,-1,5,-5,5,0,5,16382,5327.617056303062
trial3_1-1_swp-thc,3,-1,5,-5,5,0,5,16382,5327.617056303062
trial1_swp,1,-1,5,-5,5,0,0,16467,0.0
trial2_swp,2,-1,5,-5,5,0,0,16467,0.0
trial3_swp,3,-1,5,-5,5,0,0,16467,0.0
